Canton,Mois,Décembre 2000,Décembre 2000,Décembre 2000,Décembre 2001,Décembre 2001,Décembre 2001,Décembre 2002,Décembre 2002,Décembre 2002,Décembre 2003,Décembre 2003,Décembre 2003,Décembre 2004,Décembre 2004,Décembre 2004,Décembre 2005,Décembre 2005,Décembre 2005,Décembre 2006,Décembre 2006,Décembre 2006,Décembre 2007,Décembre 2007,Décembre 2007,Décembre 2008,Décembre 2008,Décembre 2008,Décembre 2009,Décembre 2009,Décembre 2009,Décembre 2010,Décembre 2010,Décembre 2010,Décembre 2011,Décembre 2011,Décembre 2011,Décembre 2012,Décembre 2012,Décembre 2012,Décembre 2013,Décembre 2013,Décembre 2013,Décembre 2014,Décembre 2014,Décembre 2014,Décembre 2015,Décembre 2015,Décembre 2015,Décembre 2016,Décembre 2016,Décembre 2016,Total,Total,Total
 ,Mesures,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi
Zurich,,1.7,12'331,18'265,2.4,17'295,23'194,3.8,27'415,35'286,4.9,35'299,45'213,4.3,31'350,41'737,3.9,28'494,38'531,3.1,22'530,31'584,2.6,18'772,25'838,2.8,19'974,26'267,4.4,32'071,38'304,3.3,26'462,33'285,2.9,23'151,28'775,3.3,25'822,31'537,3.5,27'367,33'381,3.4,27'722,33'737,3.7,30'684,37'060,3.8,31'570,38'591,3.4,438'309,560'585
Berne,,1.3,6'571,11'038,1.5,7'622,12'053,2.5,13'159,19'085,3.2,16'908,24'148,3.1,15'986,23'650,3,15'626,22'882,2.5,13'044,19'380,2,10'346,16'047,2.2,11'263,16'317,3.2,16'711,23'455,2.6,14'206,20'541,2.2,11'783,16'936,2.3,12'800,17'496,2.6,14'261,19'138,2.6,14'428,19'549,2.9,16'053,21'199,3,16'636,21'637,2.5,227'403,324'551
Lucerne,,1.3,2'382,3'855,1.7,3'132,4'443,2.8,5'195,7'116,3.5,6'515,9'111,3.2,6'004,8'786,3.2,5'960,8'918,2.6,4'922,7'705,2.1,3'921,6'277,2.3,4'368,6'727,3.3,6'257,9'362,2.2,4'630,7'788,2,4'338,6'840,2.1,4'480,7'085,2.1,4'522,7'034,2,4'496,6'961,2.2,4'890,7'743,2.2,4'883,7'871,2.4,80'895,123'622
Uri,,0.6,103,189,0.7,118,200,1.1,198,426,1.5,257,450,1.5,259,477,1.2,203,419,1.3,221,403,1,183,330,1.1,187,332,1.8,320,539,1.6,289,451,1.6,288,501,1.7,317,513,1.4,259,415,1.3,260,416,1.2,230,419,1.3,242,407,1.3,3'934,6'887
Schwyz,,0.7,486,971,0.9,673,1'235,1.8,1'311,2'268,2.3,1'642,2'796,2.5,1'765,2'888,2.4,1'699,2'844,1.9,1'378,2'312,1.5,1'071,1'854,1.7,1'182,1'984,2.5,1'808,2'927,1.9,1'561,2'525,1.5,1'253,2'049,1.6,1'338,2'139,1.7,1'453,2'294,1.6,1'436,2'259,1.9,1'627,2'430,1.9,1'683,2'512,1.8,23'366,38'287
Obwald,,0.4,76,244,0.9,159,318,1.4,249,447,1.9,339,622,1.7,303,579,1.9,326,601,1.4,249,424,1.3,221,447,1.3,231,367,1.9,330,520,1,203,390,1,217,386,1,216,372,1.2,254,426,1,218,373,1.1,237,376,1,222,359,1.3,4'050,7'251
Nidwald,,0.4,89,321,0.9,191,384,1.7,351,619,2.2,466,820,2.2,460,787,2.2,464,790,1.5,323,545,1.3,272,565,1.6,340,500,2.1,446,668,1.3,305,524,0.9,216,410,1.2,285,448,1.2,271,473,1.2,298,489,1.3,318,515,1.3,303,510,1.4,5'398,9'368
Glaris,,0.8,170,306,1.1,222,477,2.1,434,873,2.7,555,1'015,2.6,529,1'098,2.7,553,1'167,2.2,454,965,1.5,301,712,1.8,368,692,3,618,1'115,2.2,478,958,2.3,516,808,2.8,613,947,2.7,598,918,2.4,530,853,2.5,567,891,2.5,569,856,2.2,8'075,14'651
Zoug,,1,603,995,2.1,1'204,1'562,3.5,2'020,2'498,3.8,2'178,2'905,3.5,2'003,2'874,3,1'753,2'721,2.4,1'395,2'282,1.8,1'071,1'793,2.1,1'223,1'911,3.3,1'931,2'779,2.2,1'423,2'366,1.9,1'247,2'079,2,1'302,2'294,2.4,1'530,2'574,2.2,1'485,2'542,2.4,1'648,2'729,2.5,1'693,2'813,2.5,25'709,39'717
