Canton,Nationalité,Mois,Décembre 2000,Décembre 2000,Décembre 2000,Décembre 2001,Décembre 2001,Décembre 2001,Décembre 2002,Décembre 2002,Décembre 2002,Décembre 2003,Décembre 2003,Décembre 2003,Décembre 2004,Décembre 2004,Décembre 2004,Décembre 2005,Décembre 2005,Décembre 2005,Décembre 2006,Décembre 2006,Décembre 2006,Décembre 2007,Décembre 2007,Décembre 2007,Décembre 2008,Décembre 2008,Décembre 2008,Décembre 2009,Décembre 2009,Décembre 2009,Décembre 2010,Décembre 2010,Décembre 2010,Décembre 2011,Décembre 2011,Décembre 2011,Décembre 2012,Décembre 2012,Décembre 2012,Décembre 2013,Décembre 2013,Décembre 2013,Décembre 2014,Décembre 2014,Décembre 2014,Décembre 2015,Décembre 2015,Décembre 2015,Décembre 2016,Décembre 2016,Décembre 2016,Total,Total,Total
 , ,Mesures,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi
Zurich,Etrangers,,3.5,6'131,9'106,4.5,8'045,10'898,6.6,11'763,15'316,8.1,14'353,18'521,7.3,12'982,17'343,6.8,12'103,16'273,5.4,9'632,13'549,4.7,8'271,11'484,5,8'881,11'724,7.7,13'634,16'500,5.5,11'447,14'462,4.9,10'128,12'617,5.7,11'694,14'246,6,12'413,15'191,5.6,12'766,15'542,6.3,14'343,17'317,6.4,14'614,17'957,5.9,193'200,248'046
Zurich,Suisses,,1.1,6'200,9'159,1.7,9'250,12'296,2.9,15'652,19'970,3.8,20'946,26'692,3.4,18'368,24'394,3,16'391,22'258,2.4,12'898,18'035,1.9,10'501,14'354,2,11'093,14'543,3.4,18'437,21'804,2.6,15'015,18'823,2.2,13'023,16'158,2.4,14'128,17'291,2.6,14'954,18'190,2.5,14'956,18'195,2.8,16'341,19'743,2.9,16'956,20'634,2.6,245'109,312'539
Berne,Etrangers,,3.6,2'702,4'371,4,3'008,4'706,6.6,4'904,7'011,7.8,5'830,8'191,7,5'234,7'559,7.1,5'279,7'462,6,4'427,6'430,5.1,3'770,5'657,5.6,4'178,5'945,7.9,5'880,8'238,6.2,4'983,7'176,5.2,4'207,6'043,5.9,4'697,6'480,6.5,5'186,7'049,6,5'362,7'362,7.1,6'311,8'387,7.3,6'488,8'504,6.2,82'446,116'571
Berne,Suisses,,0.9,3'869,6'667,1,4'614,7'347,1.8,8'255,12'074,2.5,11'078,15'957,2.4,10'752,16'091,2.3,10'347,15'420,1.9,8'617,12'950,1.5,6'576,10'390,1.6,7'085,10'372,2.4,10'831,15'217,2,9'223,13'365,1.6,7'576,10'893,1.7,8'103,11'016,2,9'075,12'089,1.9,9'066,12'187,2.1,9'742,12'812,2.1,10'148,13'133,1.9,144'957,207'980
Lucerne,Etrangers,,3.6,1'146,1'835,4.3,1'393,1'989,6.9,2'214,3'033,7.8,2'512,3'455,7.3,2'334,3'352,7.1,2'275,3'355,6.1,1'956,3'050,5.2,1'654,2'635,5.9,1'888,2'883,8.1,2'606,3'895,5.2,1'968,3'351,5.1,1'930,2'985,5.2,1'973,3'165,5.2,1'956,3'056,4.9,2'014,3'113,5.4,2'192,3'496,5.1,2'100,3'467,5.7,34'111,52'115
Lucerne,Suisses,,0.8,1'236,2'020,1.1,1'739,2'454,1.9,2'981,4'083,2.6,4'003,5'656,2.3,3'670,5'434,2.4,3'685,5'563,1.9,2'966,4'655,1.4,2'267,3'642,1.6,2'480,3'844,2.3,3'651,5'467,1.5,2'662,4'437,1.4,2'408,3'855,1.4,2'507,3'920,1.5,2'566,3'978,1.4,2'482,3'848,1.5,2'698,4'247,1.5,2'783,4'404,1.7,46'784,71'507
Uri,Etrangers,,2.6,49,75,2.8,53,79,3.7,70,153,4.1,76,125,4.4,82,136,3.6,68,125,4.8,89,132,3.7,69,109,4.6,87,137,6.6,124,202,...,130,195,...,145,230,...,157,269,...,133,203,5.9,150,235,5.5,140,225,5.3,135,207,5.3,1'757,2'837
Uri,Suisses,,0.3,54,114,0.4,65,121,0.8,128,273,1.2,181,325,1.1,177,341,0.9,135,294,0.8,132,271,0.7,114,221,0.6,100,195,1.2,196,337,0.9,159,256,0.8,143,271,0.9,160,244,0.7,126,212,0.7,110,181,0.5,90,194,0.6,107,200,0.8,2'177,4'050
Schwyz,Etrangers,,1.7,202,460,2.2,264,556,4,485,943,5.2,622,1'100,5.7,688,1'186,5.2,622,1'132,4.4,527,946,3.6,431,822,4.4,530,935,6.6,789,1'340,4.5,722,1'229,3.8,609,1'000,3.9,633,1'049,4.1,668,1'097,3.8,680,1'085,4.3,774,1'156,4.4,798,1'223,4.2,10'044,17'259
Schwyz,Suisses,,0.5,284,511,0.7,409,679,1.4,826,1'325,1.7,1'020,1'696,1.8,1'077,1'702,1.8,1'077,1'712,1.4,851,1'366,1.1,640,1'032,1.1,652,1'049,1.7,1'019,1'587,1.2,839,1'296,1,644,1'049,1,705,1'090,1.2,785,1'197,1.1,756,1'174,1.2,853,1'274,1.3,885,1'289,1.2,13'322,21'028
Obwald,Etrangers,,1.3,31,92,3.2,74,134,3.7,86,154,4.3,99,185,4.4,103,203,4.9,115,214,4.4,102,169,4,92,175,4.2,97,157,5.9,138,215,3.6,94,173,3.8,98,176,3.9,101,178,4.4,113,181,3,95,166,4,127,194,3.2,101,165,3.9,1'666,2'931
Obwald,Suisses,,0.3,45,152,0.6,85,184,1.1,163,293,1.6,240,437,1.3,200,376,1.4,211,387,1,147,255,0.8,129,272,0.9,134,210,1.3,192,305,0.6,109,217,0.7,119,210,0.6,115,194,0.8,141,245,0.7,123,207,0.6,110,182,0.7,121,194,0.9,2'384,4'320
Nidwald,Etrangers,,1,23,72,2.6,58,113,3.4,75,144,5.8,129,197,6.3,139,222,5.8,130,207,4.4,98,151,3.7,83,166,4.9,110,150,5.5,122,199,3.5,97,164,2.9,82,148,3.3,91,141,4.2,118,180,3.7,120,199,3.9,126,195,3.8,122,212,4,1'723,2'860
Nidwald,Suisses,,0.4,66,249,0.7,133,271,1.5,276,475,1.8,337,623,1.7,321,565,1.8,334,583,1.2,225,394,1,189,399,1.2,230,350,1.7,324,469,1,208,360,0.7,134,262,0.9,194,307,0.7,153,293,0.8,178,290,0.9,192,320,0.9,181,298,1.1,3'675,6'508
Glaris,Etrangers,,1.7,83,147,2.1,101,240,4.5,217,444,4.9,238,435,4.5,217,440,4.6,225,463,3.9,189,398,2.5,122,285,3.4,168,300,5.4,264,474,4.2,212,435,4.4,222,364,5.9,301,468,5.5,282,439,4.7,254,419,5.7,305,490,5.2,279,454,4.3,3'679,6'695
Glaris,Suisses,,0.6,87,159,0.8,121,237,1.4,217,429,2,317,580,2,312,658,2.1,328,704,1.7,265,567,1.1,179,427,1.3,200,392,2.3,354,641,1.6,266,523,1.7,294,444,1.8,312,479,1.8,316,479,1.6,276,434,1.5,262,401,1.7,290,402,1.6,4'396,7'956
Zoug,Etrangers,,2.2,275,477,4.9,599,788,7.1,869,1'122,6.8,829,1'172,6.4,781,1'169,5.7,699,1'129,4.5,556,941,3.7,454,781,4.2,513,840,6.9,850,1'227,3.8,595,1'028,3.6,558,927,3.7,583,1'013,4.5,712,1'183,3.9,705,1'204,4.1,751,1'291,4.4,799,1'319,4.6,11'128,17'611
Zoug,Suisses,,0.7,328,518,1.3,605,774,2.5,1'151,1'376,3,1'349,1'733,2.7,1'222,1'705,2.3,1'054,1'592,1.8,839,1'341,1.3,617,1'012,1.6,710,1'071,2.4,1'081,1'552,1.7,828,1'338,1.4,689,1'152,1.5,719,1'281,1.7,818,1'391,1.6,780,1'338,1.8,897,1'438,1.8,894,1'494,1.8,14'581,22'106
Fribourg,Etrangers,,3.6,730,1'625,4.5,921,1'846,5.8,1'185,2'255,7.6,1'550,2'535,7.5,1'534,2'468,8.1,1'641,2'638,7.4,1'513,2'447,7.4,1'506,2'368,8.7,1'770,2'892,10.5,2'132,3'533,6,1'858,3'162,5.7,1'782,3'152,7.1,2'199,3'800,7.9,2'460,4'095,6.7,2'529,4'101,7.2,2'692,4'533,6.9,2'578,4'517,6.9,30'580,51'967
Fribourg,Suisses,,1,1'027,2'501,1.2,1'240,2'682,1.8,1'871,3'398,2.3,2'459,4'172,2.3,2'503,4'218,2.4,2'527,4'210,2.2,2'354,3'949,1.8,1'957,3'424,1.9,2'077,3'606,2.5,2'660,4'491,1.8,2'135,3'897,1.6,1'905,3'563,1.7,2'048,3'834,2.1,2'547,4'232,1.9,2'404,4'020,2.1,2'713,4'467,1.9,2'460,4'502,1.9,36'887,65'166
Soleure,Etrangers,,4.4,1'069,1'829,5.2,1'259,2'067,7.3,1'777,2'858,9.1,2'201,3'256,8.1,1'959,3'018,7.4,1'796,2'828,6.3,1'524,2'499,5.9,1'427,2'316,7,1'700,2'518,11,2'673,3'629,6.5,1'854,2'946,5.2,1'475,2'400,6.3,1'797,2'728,6.1,1'750,2'745,5.1,1'592,2'525,6.5,2'049,3'157,6.8,2'137,3'349,6.7,30'039,46'668
Soleure,Suisses,,0.8,844,1'487,1.1,1'221,2'097,1.9,2'085,3'468,2.8,2'983,4'339,2.6,2'844,4'265,2.5,2'661,4'212,1.9,2'110,3'438,1.7,1'826,2'947,1.8,1'951,2'837,3.2,3'459,4'574,2.2,2'520,3'747,1.8,2'093,3'238,2.1,2'406,3'582,2,2'248,3'450,1.9,2'136,3'198,2.2,2'552,3'814,2.2,2'542,3'923,2,38'481,58'616
Bâle-Ville,Etrangers,,3.4,1'082,1'755,3.9,1'222,2'013,5.5,1'747,2'594,6.8,2'169,3'251,6.7,2'117,3'207,5.8,1'833,2'760,5.2,1'660,2'460,4.5,1'420,2'152,5.2,1'662,2'475,6.9,2'173,3'051,5.7,2'000,2'890,5,1'738,2'523,5.4,1'886,2'686,5.6,1'944,2'730,5.2,2'022,2'782,5.4,2'074,2'898,5.8,2'243,3'170,5.4,30'992,45'397
Bâle-Ville,Suisses,,1.5,987,1'495,2,1'293,1'933,2.8,1'818,2'566,3.8,2'510,3'499,3.6,2'347,3'407,3.2,2'143,3'079,2.9,1'889,2'683,2.4,1'553,2'215,2.5,1'673,2'399,3.3,2'149,2'991,3.3,1'927,2'805,2.9,1'700,2'479,3.1,1'816,2'582,3,1'750,2'486,2.7,1'647,2'403,2.8,1'707,2'521,3,1'789,2'618,2.8,30'698,44'161
Bâle-Campagne,Etrangers,,2.7,735,1'229,3.6,972,1'453,5.2,1'402,1'967,6.6,1'772,2'437,6.5,1'768,2'467,6,1'608,2'299,4.7,1'271,1'908,4.5,1'223,1'699,5.1,1'391,1'877,7.5,2'026,2'562,5.8,1'817,2'363,5,1'557,2'060,5.1,1'587,2'137,5.1,1'602,2'118,4.9,1'643,2'180,5.8,1'932,2'544,5.8,1'946,2'635,5.3,26'252,35'935
Bâle-Campagne,Suisses,,1,1'106,1'666,1.2,1'346,1'848,1.9,2'148,2'776,2.7,3'044,3'816,3,3'305,4'270,2.6,2'903,3'918,2.1,2'390,3'248,1.8,2'014,2'724,1.9,2'146,2'808,3,3'381,4'052,2.6,2'983,3'780,2.2,2'527,3'230,2.2,2'541,3'274,2.2,2'491,3'265,2.1,2'421,3'139,2.3,2'649,3'421,2.4,2'701,3'488,2.2,42'096,54'723
Schaffhouse,Etrangers,,4.6,407,788,4.5,399,760,6.3,562,976,8,712,1'186,7,621,1'010,7,623,1'065,5,442,850,4.6,407,810,4.6,409,762,8.4,741,1'192,4.6,501,983,4.1,446,864,5,544,982,5.7,628,1'115,6.4,745,1'188,6.7,782,1'285,6.6,775,1'327,5.8,9'744,17'143
Schaffhouse,Suisses,,0.9,284,612,1.2,351,703,1.8,550,1'040,2.4,724,1'414,2.5,753,1'383,2.3,708,1'335,1.9,573,1'124,1.6,479,964,1.6,480,958,2.9,870,1'419,1.9,586,1'180,1.8,553,1'068,2.1,641,1'082,2.1,655,1'144,2.1,655,1'144,2.3,731,1'249,2.3,738,1'237,2,10'331,19'056
Appenzell Rhodes-Extérieures,Etrangers,,1.7,87,139,2.2,111,170,4.1,210,294,4,203,306,4.3,220,306,4,201,265,3.4,175,249,2.7,137,203,3.7,187,245,4.7,239,388,3.8,182,351,3.3,159,324,4.4,210,385,4.7,223,339,4.1,216,366,5,258,427,3.9,203,369,3.8,3'221,5'126
Appenzell Rhodes-Extérieures,Suisses,,0.8,193,278,0.9,213,300,1.5,337,452,1.8,411,595,1.9,451,624,1.9,441,612,1.5,345,491,1.3,290,408,1.4,321,434,1.9,433,679,1.5,361,628,1,248,509,1.3,316,573,1.4,349,566,1.4,368,579,1.3,339,580,1.4,360,632,1.4,5'776,8'940
