,name,food_group,count
0,salt,baking goods,25071
1,onion,vegetables,15327
2,butter,milk and milk products,14302
3,sugar,baking goods,14033
4,garlic,herbs and spices,13699
5,egg,eggs,13202
6,flour,cereals and cereal products,12256
7,water,beverages,10184
8,black pepper,herbs and spices,8821
9,olive oil,fats and oils,8791
10,oil,fats and oils,7804
11,milk,milk and milk products,7711
12,cheese,milk and milk products,7497
13,chicken,animal foods,7407
14,vanilla,herbs and spices,6908
15,pepper,herbs and spices,6848
16,lemon,fruits,5794
17,tomato,vegetables,5703
18,brown sugar,baking goods,4905
19,cream,milk and milk products,4715
20,cinnamon,herbs and spices,4463
21,parsley,herbs and spices,4302
22,corn,cereals and cereal products,3814
23,baking powder,baking goods,3620
24,beef,animal foods,3411
25,carrot,vegetables,3388
26,celery,herbs and spices,3383
27,baking soda,baking goods,3192
28,bread,cereals and cereal products,3095
29,potato,vegetables,3054
30,parmesan,milk and milk products,3012
31,mushroom,vegetables,2868
32,rice,cereals and cereal products,2720
33,basil,herbs and spices,2715
34,sour cream,baking goods,2675
35,cheddar,milk and milk products,2661
36,chocolate,cocoa and cocoa products,2617
37,mustard,baking goods,2617
38,bean,vegetables,2561
39,cream cheese,milk and milk products,2538
40,thyme,herbs and spices,2497
41,oregano,herbs and spices,2453
42,ginger,herbs and spices,2431
43,margarine,fats and oils,2356
44,apple,fruits,2333
45,cumin,herbs and spices,2140
46,nutmeg,herbs and spices,2096
47,soy sauce,baking goods,2025
48,lime,fruits,1992
49,mayonnaise,baking goods,1982
50,cilantro,herbs and spices,1981
51,red pepper,vegetables,1966
52,orange,fruits,1941
53,vinegar,baking goods,1859
54,pork,animal foods,1856
55,honey,confectioneries,1826
56,paprika,herbs and spices,1788
57,bacon,animal foods,1767
58,chips,snack foods,1649
59,cayenne pepper,herbs and spices,1648
60,walnut,nuts,1634
61,chili,dishes,1632
62,pecan,nuts,1623
63,almond,nuts,1602
64,green bell pepper,vegetables,1575
65,worcestershire sauce,baking goods,1549
66,bay leaf,herbs and spices,1536
67,red bell pepper,vegetables,1447
68,wine vinegar,baking goods,1399
69,cake,confectioneries,1340
70,spinach,vegetables,1339
71,ham,animal foods,1337
72,white wine,beverages,1307
73,mozzarella,milk and milk products,1305
74,ling,aquatic foods,1279
75,wheat,cereals and cereal products,1228
76,coconut,fruits,1187
77,raisin,fruits,1153
